row,exploit,attack_vector,public_status,user_interaction,Utility
1,active,N,public,N,effortless
2,active,N,public_restricted,N,effortless
3,active,N,public,R,complex
4,active,N,public_restricted,R,complex
5,active,N,private,N,laborious
6,active,N,None,N,effortless
7,PoC,N,public,N,effortless
8,PoC,N,public_restricted,N,effortless
9,PoC,N,public,R,complex
10,PoC,N,public_restricted,R,complex
11,PoC,N,Public,N,complex
12,PoC,N,public_restricted,N,complex
13,None,N,private,N,laborious
14,None,N,private,R,laborious
15,None,L,private,N,laborious
16,None,L,private,R,laborious
17,active,None,None,None,complex
18,PoC,None,None,None,laborious
19,None,N,None,N,complex